"Video Version","#","Timecode","Username","Note","Reply","Date Added","Resolved"
"HA Depressie - Deel 3b.mp4",1,00:00:04,"E-WISE Nederland bv","dia 23",--,"Thursday, January 11, 2018 At 8:31 AM",No
"HA Depressie - Deel 3b.mp4",2,00:01:49,"E-WISE Nederland bv","dia 24",--,"Thursday, January 11, 2018 At 8:33 AM",No
"HA Depressie - Deel 3b.mp4",3,00:02:55,"E-WISE Nederland bv","dia 25",--,"Thursday, January 11, 2018 At 8:34 AM",No
"HA Depressie - Deel 3b.mp4",4,00:04:40,"E-WISE Nederland bv","dia 26",--,"Thursday, January 11, 2018 At 8:39 AM",No
"HA Depressie - Deel 3b.mp4",5,00:06:49,"E-WISE Nederland bv","dia 27",--,"Thursday, January 11, 2018 At 8:41 AM",No
"HA Depressie - Deel 3b.mp4",6,00:08:05,"E-WISE Nederland bv","dia 28",--,"Thursday, January 11, 2018 At 8:52 AM",No
"HA Depressie - Deel 3b.mp4",7,00:10:47,"E-WISE Nederland bv","dia 29",--,"Thursday, January 11, 2018 At 8:56 AM",No
,,,,,,,
