"Video Version","#","Timecode","Username","Note","Reply","Date Added","Resolved"
"HA Stress en Burnout - deel 3.mp4",1,00:00:04,"E-WISE Nederland bv","dia 23",--,"Thursday, January 11, 2018 At 5:49 AM",No
"HA Stress en Burnout - deel 3.mp4",2,00:00:46,"E-WISE Nederland bv","dia 24",--,"Thursday, January 11, 2018 At 5:56 AM",No
"HA Stress en Burnout - deel 3.mp4",3,00:03:07,"E-WISE Nederland bv","dia 25",--,"Thursday, January 11, 2018 At 5:59 AM",No
"HA Stress en Burnout - deel 3.mp4",4,00:04:05,"E-WISE Nederland bv","dia 26",--,"Thursday, January 11, 2018 At 6:02 AM",No
"HA Stress en Burnout - deel 3.mp4",5,00:04:41,"E-WISE Nederland bv","dia 27",--,"Thursday, January 11, 2018 At 6:03 AM",No
,,,,,,,
,,,,,,,
