"Video Version","#","Timecode","Username","Note","Reply","Date Added","Resolved"
"HA Depressie - Deel 3a.mp4",1,00:00:11,"E-WISE Nederland bv","dia 20",--,"Thursday, January 11, 2018 At 8:25 AM",No
"HA Depressie - Deel 3a.mp4",2,00:01:29,"E-WISE Nederland bv","dia 21",--,"Thursday, January 11, 2018 At 8:26 AM",No
,,,,,,,
"Unknown file name",1,00:03:56,--,"hier doorknippen. Dan maken we van de het volgende stukje een apart filmpje",--,"Friday, December 22, 2017 At 4:46 AM",No
"Unknown file name",2,00:03:56,--,"Het moeten dus twee films worden: een van bijan 4 minuten en een van 14 minuten.",--,"Friday, December 22, 2017 At 5:01 AM",No
,,,,,,,
