"Video Version","#","Timecode","Username","Note","Reply","Date Added","Resolved"
"HA Depressie - Deel 2.mp4",1,00:00:07,"E-WISE Nederland bv","dia 13",--,"Thursday, January 11, 2018 At 8:01 AM",No
"HA Depressie - Deel 2.mp4",2,00:09:20,"E-WISE Nederland bv","dia 14",--,"Thursday, January 11, 2018 At 8:10 AM",No
"HA Depressie - Deel 2.mp4",3,00:10:46,"E-WISE Nederland bv","dia 16",--,"Thursday, January 11, 2018 At 8:16 AM",No
"HA Depressie - Deel 2.mp4",4,00:12:11,"E-WISE Nederland bv","dia 17",--,"Thursday, January 11, 2018 At 8:18 AM",No
"HA Depressie - Deel 2.mp4",5,00:12:56,"E-WISE Nederland bv","dia 18",--,"Thursday, January 11, 2018 At 8:21 AM",No
,,,,,,,
"Unknown file name",1,00:00:03,--,"stukje weghalen, zodat hij begint met: Als",--,"Friday, December 22, 2017 At 4:17 AM",No
,,,,,,,
